tf_code,tf_name,sf_code,sf_name,distance_km
59n966,رستوران میزنون,5oq5jx,فست فود میزنون,0.015340574
59no37,کافسیدو,mej7er,کافه کافسیدو (شعبه امیرآباد),0.076067424
59nrw7,کترینگ ته چین طلایی ,6d2j4g,رستوران ته چین طلایی (شعبه دوم),0.014833232
59nwlz,هات داگتو بخور,mey8lv,هات داگ تو,0.073176322
59nx49,نانوایی سنگک برکت,09vz8n,سنگک سنتی برکت (شعبه مسعودیه),0.090441959
59pkg2,سوپر میوه دستچین,o9yln8,میوه فروشی دستچین,0
59x43l,کافه لاین,44zyyx,کافی شاپ لاین,0.025960885
59xkoo,پیتزا و ساندویچ چیتگر,27zn85,پیتزا ساندویچ چیتگر,0.008558891
59xyro,نان فانتزی و بربری طاها,wd9ekq,نان بربری سنتی طاها,0.017817353
59xzk3,نان سنگک سنتی شاطر علی ,095kyy,نانوایی شاطر علی,0.004152865
59xzn4,تهیه غذای برادران فرهنگیان,r5vwmz,رستوران فرهنگیان,0.102758125
5g73kg,کافه ایندو,85or4g,کافه این۲,0.009431068
5g78n1,نانوایی لواش اسلامی,0w6o1g,لواشی برادران اسلامی,0.034693335
5g78y3,سبزی خردکنی ریحانه تک,pvlee5,سبزی خردکنی ریحانه (شعبه مرکزی),0.353768818
5g7gwz,نان لواشی کن,31l9ky,نانوایی لواش کوهسار,0.407035995
5g7nkw,کباب ترکی و بریانکده سلماس,p67mow,کباب ترکی سلماس,0.217489161
5g8442,تهیه غذا آباجی,3xxnnw,رستوران آباجی,0.010275529
5g8pp2,کافه حانیل,7jwg7x,قهوه حانیل,0.001097334
5g911r,قهوه مونا,3xvjq4,مونا کافی,0.038032827
5g93y6,کافه رستوران اذ,0we1gq,کافه رستوران اِذ(نان برسان),0.01419237
5g974x,کافه لیَن (lien cafe),xd5zy4,کافه لین,0.019684973
5g98w9,نانوایی سنگک یزدان,3eq69m,نان سنگک یزدان,0.380264327
5g9g4w,کافه رستوران پدیده,jy29ng,کافه فست فود پدیده,0.0742216
5g9ml1,فست فود دُر دُر,y192qd,فست فود دور دور,0.006069886
5g9mn1,میوه فروشی برادران,27q992,میوه سرای برادران,0.01101878
5g9nwg,فست فود فرندسیتی,qylmwx,رستوران فرند سیتی,0.058165038
5g9oxk,فست فود خان دیزی,27xlze,فست فود خان دیزی,0.26171161
5g9pom,میوه فروشی قصر ,09zy26,سوپر میوه قصر,0.028141621
5g9w84,تره بار عارف,85o9jy,میوه عارف,0.02410021
5g9xpw,رستوران ماه بانو,0g5q6m,کترینگ ماه بانو,0.002005287
5g9z31,هونلی(Havenly),5owvoe,فست فود هونلی,0.029473983
5g9z63,سبزی خرد کنی ریحانه تک,0q5l2y,سبزی ریحانه (شعبه دو),0.494396927
5gkkl5,فست فود ساویچ,94yxwy,فست فود ساویچ,0.004967426
5gkx95,کافه رنه,l2d68k,کافه رنه,0.317028357
5gx18w,آش و حلیم اصیل محمد,klw2eo,آش و حلیم اصیل محمد,0.007936532
5gx3y4,نانوایی شهرام بهرام,p6yrve,نان شهرام بهرام  (آزادپز),0.058186175
5gx4wp,طباخی چیذر(امام زاده علی اکبر) ,0rv279,طباخی چیذر (امام زاده علی اکبر),0.033323795
5gx8yw,مرغ و گوشت پدیده,27x59d,مرغ و گوشت پدیده فارس,0.011745454
5gxlm9,رستوران آسیایی لاکارا,3228dl,رستوران لاکارا,0.01358863
5gxpl3,سبزیجات آماده چهار فصل,7jrem2,میوه چهار فصل,0.024371805
5gxr64,کافه محمد ,y11llr,کافه محمد,0.406899332
5k3148,هایپر میو‌ه کوروش,0qdlx9,هایپر میوه کوروش,0.018159597
5k31o4,نانوایی بربری پل امیر بهادر,wd4olv,بربری پل امیر بهادر,0.037032249
5k38rp,مجتمع نان لواش بربری و فانتزی ملاصدرا ,xdgedy,مجتمع نان ملاصدرا خوارزمی (آزادپز),0.03091897
5k3nwz,کافه بستنی و آبمیوه پیژام,6d21w6,کافه بستنی و آبمیوه پیژام,0.00688832
5k61gy,کبابسرای عطایی ,27zz9q,کباب سرای عطایی,0.021295992
5k639y,شیرینی گل گندوم,12zvm4,کلوچه پزی گل گندم,0.162527619
5k63n1,قنادی قصر,l28d99,شیرینی قصر,0.029684973
5k63yy,نانوایی بربری رسول,r5oj9v,نان بربری رسول(آزادپز),0.022277724
5k647p,میوه ماردین,y192dd,میوه و تره بار ماردین,0.014072531
5k66nn,ابمیوه و بستنی یاسر,3klxnj,آبمیوه بستنی یاسر (ملاصدرا),0.029825751
5k6l3l,کافه رستوران پانیا ,xd2r9y,فست فود پانیا,0.027145589
5k6ox7,پروتئین جزیره مزه,nnvgn6,پروتئینی جزیره مزه,0.040543535
5k6rwl,آش و حلیم عمورضا,zn1lg1,آش و حلیم عمو رضا,0.017396485
5k6zlw,نانوایی بربری نمونه,wd9mqv,بربری نمونه (ذوالفقاری),0.012229667
5k9495,نان یوخه سنتی رز,y195zg,یوخه پزی سنتی رز,0.027596215
5kg4n5,گوشت حاتم,85edey,گوشت حاتم,0.435055743
5klm7n,پیتزا جاده شمرون,l2ddgk,پیتزا جاده شمرون,0.368921545
5klnkx,فست فود بوفالو,7jw962,پیتزا بوفالو,0.063990845
5klw8z,تهیه غذا گیلاس,0jzyor,تهیه غذا گیلاس,0.010208761
5kly1r,پروتئین سفارشی ,xdj5ly,سوپر گوشت سفارشی,0.011233246
5klym6,رستوران ایرانیان ,0rek68,کترینگ ایرانیان,0.007144789
5klzpk,فست فود بریم آبادان,vx124m,فست فود بریم آبادان,0.267820203
5klzwp,کافه سامی,gnorwm,شکلات و قهوه سامی,0.001804738
5lllr9,نانوایی مجتمع نان بهشت,jy2l69,مجتمع نان بهشت طرشت (آزادپز),0.031693714
5llnl4,نانوایی تافتون برکت,3dmdxd,نان تافتون برکت (درختی),0.042713728
5lmxw2,نان و شیرینی قاصدک,0nwy7z,نان یوخه سنتی قاصدک,0.052499105
5lw374,سوپر پروتئین عابدی,3kqono,سوپر گوشت عابدی,0.007414764
5lwm1x,رستوران‌ سنتی مجنون,o959mk,سفره خانه مجنون,0.06743274
5lwmo3,پیتزا ساندویج سعید,nnd4zz,فست فود سعید,0.010140252
5lwpl4,سفارت آبادان (شهرک گلستان),096jvn,سفارت آبادان,0.21584963
5lwznp,مجتمع نان مادر,xddq66,نانوایی مادر(آزادپز),0.025824945
5ly882,کافه رو به رو ( شعبه مشیر),94915n,کافه رو به رو شعبه مشیر,0.201004593
5lz1m6,غذای خانگی توانیر ,44qr8r,غذای سنتی توانیر,0.022004306
5lz4g3,حلیم و کباب برگ سبز,wderyz,حلیم سرای برگ سبز,0.018808076
5lzg9g,سوپر گوشت یاس,e5z9qm,پروتئین یاس,0.124583204
5lzzwo,پروتئینی حسین,o9r1jk,سوپر پروتئین حسین,0.000981385
5m4n72,کبابسرای بهشت,p8kw45,کباب سرای بهشت,0.111637423
5m7l75,میوه فروشی بهار نارنج,meexro,میوه سرای بهار نارنج,0.021665841
5m8462,رستوران بیرونبر یاور ,nngmx2,رستوران یاور,0.028386652
5mk1lg,فست فود تمیز,0qqglw,ساندویچ تمیز (شعبه ۱),0.029109174
5mk3r8,مجتمع نان بربری آرین,94ee9y,مجتمع نان آرین,0.053032548
5mk4px,بازار کباب,jyj1e6,بازار کباب,0.002221705
5mkg8r,ZI,meynwv,کافه زی,0.043717199
5mkm3y,مطبخ سمن بانو,l2dlrz,کترینگ سمن بانو,0.009170652
5mkn78,فست فود تیوانی,7jjm79,تیوانی فود,0.283266142
5mkoyn,نانوایی سنگک وسک,31l7zw,سنگکی وسک,0.124679699
5mkpgl,فست فود بابا کیلویی,qyrnnx,سوخاری بابا کیلویی (شعبه انقلاب),0.002605003
5mky44,قنادی فرزاد,kl56qq,شیرینی فرزاد,0.474480572
5mky8n,جگرسرای سلطان,xd5dry,جگرکی سلطان,0.010823001
5mm4py,فست فود کانکشن,y1reqy,پیتزا کانکشن,0.047105284
5mm9l9,کیترینگ مانا دخت,6dr6do,کترینگ مانادخت,0.039467608
5mm9o1,فری بابل (fribubble),jym296,فست فود فری بابل,0.030465196
5mml16,هایپر میوه تربچه,jygdkq,محصولات ارگانیک تربچه,0.060810152
5mmm68,غذای ایرانی سوفیا,pz44yj,غذای اقتصادی سوفیا,0.012816389
5mmn74,فست فود دوآتیشه شعبه شهرک باقری,nnw412,فست فود دو آتیشه,0.010897491
5mmnln,پروتئین سعید,32w71d,مرغ و گوشت سعید,0.007880176
5mmp1g,آب میوه بستنی بیگ بنگ ,5o548n,ابمیوه بستنی ویتامینه معجون بیگ بنگ,0.02382815
5mxpo2,سبزیجات آماده طبخ عمه لیلا,27qvv2,سبزی مارکت عمه لیلا,0.053570864
5my14x,اغذیه برادران ,dq71mx,فست فود برادران,0.094340741
5my3om,تافتون سنتی,85d41g,تافتان صفری,0.018461046
5my4rk,ويتامينه نشاط ملک,0l8l99,ويتامينه نشاط ملک,0.024892894
5my6rr,ایرانی علی ایلیا (مطهری-شریعتی),3klyon,ایرانی علی ایلیا (مطهری-شریعتی),0.018185739
5mym7g,سبزیجات عمو سبزی فروش,377oqx,عمو سبزی فروش (شعبه دستغیب),0.037023461
5myox4,نانوایی تافتون شهرزاد,27z9ve,نانوایی تافتون شهرزاد,0.051280281
5myrnm,ایران برگر طلایی,mem2ky,ایران برگر طلایی,0.00214858
5nk13g,کافه ZEN,vxldjv,کافه ذن,0.009200176
5nk6l3,فست فود پسر خوب ,vxqvjd,فست فود پسر خوب,0.012940036
5nk99m,بیکری قیطریه,p4gxgr,نان قیطریه (q Bakery),0.005675567
5nkgwn,ویتامینه بوی سیب ,0mgo7r,آبمیوه بستنی بوی سیب,0.018856641
5nkkm6,ابمیوه بستنی ناردون,me9zxv,آبمیوه طبیعی  ناردون,0.098265833
5nkl9r,فست‌فود نارنج,3kqv9k,رستوران نارنج,0.008803446
5nkn61,سوپر پروتئین حسام ,wd1wkq,پروتئین حسام (نمایندگی محصولات گوشتیران),0.007221091
5nko6g,پـیـتــزا  اِیـت (۸),94y4nd,پـیـتــزا اِیت (8),0.011723744
5nl1w9,تهیه غذای پارسیان,0yo81g,رستوران پارسیان,0.013323337
5nlkyk,کباب زیتون,qyd9kx,کترینگ زیتون,0.011393948
5nllx4,کباب ترکی و فست فود مک موری,y1vj9g,کباب ترکی و فست فود مک موری,0.100919457
5nlm3o,کافه السا,0wy7wg,کافه شکلات آلسا,0.34264837
5nlyx1,دیزی بار مزه بازار (2),0rzyno,دیزی بار مزه بازار (2),0.059743644
5nlz16,قهوه پاتوق ,o96xzj,کافی شاپ آبمیوه پاتوق,0.2519768
5nlzoy,نانوایی سنگک صدر,dqmrnn,نان سنگک صدر,0.022122972
5nx311,نانوایی سنگکی حال خوب,0y95xy,نان سنگک حال خوب (بهار),0.004480614
5nx4xz,مستر فود,85e7ey,مستر فود,0.097095648
5o17wk,فست فود ویکولند (دولت آباد),pod8yv,فست فود ویکولند (دولت آباد),0.287541678
5o1n1g,کافه و رستوران کالوشه,dqmv77,کافه رستوران کالوشه,0.008996285
5o1x4y,شیرینی باران,e55dw2,شیرینی باران,0.4422754
5o31mk,هیولا برگر ,p42qg5,هیولا برگر,0.015094334
5o38px,کبابی گلپایگان,p4omkj,کبابی سنتی گلپایگانی,0.019077137
5o398y,پیتزا ساندویچ کاکتوس,271eo2,فست فود کاکتوس,0.033092143
5o3gn4,قهوه ویرو,e5qwv2,کافی شاپ ویرو,0.009990295
5o3mr8,کافه باقلوا موراکو,qy124d,باقلوایی موراکو,0.172679569
5ollz2,کافه 4,klj2lq,کافه فور,0.046021645
5orx72,جیلیز برگر(شعبه2),pv66l5,جلیز برگر,0.022810831
5ox8wz,کافی بین ,44qo65,کافه بین,0.004139221
5oxkl4,کافه چک و مک,wd4ldq,قهوه چک مک,0.022352321
5oxl37,اغذیه آفتاب,1246m2,فست فود آفتاب,0.026218639
5oxl6o,شیرینی دلوین,p8jvkg,شیرینی دلوین,0.071375425
5oxly7,آشکده بابا عبدی ,r5yqz1,آش و حلیم بابا عبدی (قیطریه),0.014288869
5p31nl,نان افاق ,5ozrxx,نان سنگک آفاق,0.01643349
5p33pg,پیتزا میتزا (نبرد شمالی),3dvl57,فست فود پیتزا میتزا (سرآسیاب),0.483722969
5p3gkx,آشکده برگ,jy24e9,آش حلیم برگ,0.009011843
5p3pmn,شیرینی حبیب,12lg94,شیرینی حبیب,0.330730402
5p3w7x,نانوایی تافتون پرچکانی,44zo2r,تافتون پرچگانی,0.007320191
5p614y,فست فود عمو محسن,0jdxxq,ساندویچی عمو محسن,0.005119222
5p638p,کترینگ مطبخ,94y98q,رستوران مطبخ,0.0414324
5p6693,کافه زَرزاد,y1jl8g,زرزاد قهوه,0.026535079
5p69z1,عطاپیچ,znk81w,"صبحانه، ناهار و شام عطاویچ (میرداماد)",0.042033715
5p6lry,فست فود بلک پپر,mejqjq,رستوران بلک پپر,0.013817827
5p6rxz,نانوایی بربری زمانی,gnzmq2,نانوایی زمانی (آزادپز),0.03909014
5p83w4,بستنی غدیر و قادر,xdr5w4,آبمیوه بستنی غدیر و قادر,0.018912992
5p8oyz,کترینگ پلازا,qydlod,کترینگ پلازا,0.088797317
5p8w14,قهوه کارامل,316qjy,کافه کارامل,0.022422996
5p8wzn,پیتزا پارک بلوار ابوذر,3kmemg,پیتزا پارک (شعبه بلوار ابوذر),0.007957372
5p96n2,فست فود پیتزا سکه,dqvzox,پیتزا و ساندویچ سکه,0.02743632
5r1462,فست فود پتوو,dqrzvn,فست فود پتوو,0.040639888
5r3k42,شیرینی سرای محمد,xddk86,شیرینی سرای محمد,0.021356222
5r69y8,کافه تلخ,e59wy5,کافی شاپ تلخ,0.014005392
5r6l8n,کافی شاپ اتاق صورتی,e5z51o,کافه پینکی روم,0.021705555
5r93og,نان سنگک و لبنیات برکت,32q7dl,سنگکی سنتی برکت (نفت) (آزادپز),0.022150212
5r98px,آبمیوه ویتاسنتر VIP,37q69m,آبمیوه بستنی ویتا سنتر,0.022854988
5r99m1,نانوایی‌ بهار,o96o8o,نان بهار(آزادپز),0.026025633
5r9k1y,کباب مطهر,0971vq,اغذیه مطهر,0.008733561
5r9lo4,قنادباشی,vx1vxv,شیرینی قناد باشی,0.035983821
5r9nxg,نانوایی تافتون گندم طلایی,o9ow28,تافتونی گندم طلایی,0.101446672
5r9o67,کافه مهرداد ,6d2lon,آبمیوه بستنی مهرداد,0.091823511
5r9xp9,بریانکده سوخاری فلفل قرمز,0ym8lm,فست فود بریانکده فلفل قرمز,0.009442584
5rk482,نان فانتزی هانان,nndm1z,نان هانان,0.246069633
5rw9n6,فست فود سبحان ,3221ve,فست فود سبحان,0.036595685
5rwo49,تهیه غذای نمونه,r5q789,رستوران نمونه,0.004167021
5rwrr3,آشپزخانه کاووایی (معالی آباد),l2dxme,آشپزخانه کاوایی,0.176341556
5rww1g,تهیه غذای آریا پخت,31l5qk,تهیه غذای آریاپخت (صاحب الزمان),0.039494179
5rwwrz,کباب و حلیم بهاران,e5lz1m,کبابخانه بهاران,0.016731435
5rwwy6,کبابی گلستان,p6od8w,کبابکده گلستان (پونک),0.012688211
5rwxk4,نان لواش چهار باغ ,dqm15d,نانوایی لواشی چهارباغ,0.020617053
5rwy37,سوخاری کیلویی پر طلا,949dxq,سوخاری کیلویی پرطلا,0.032756014
5w13p3,هایپر مارکت ونو,85dgmy,مزه بار هایپر و نو ساقدوش,0.007448618
5w1k11,نان سنگک سنتی بهار,0911mn,نانوایی سنگگ بهار (شعبه سبلان - آزادپز),0.001513531
5w1n1r,کبابسرای صادق,85o5y2,کبابسرای صادق,0.033012309
5w1nyy,فلافل داعلی (شعبه ۳ تهرانسر),xdgwxw,فلافل داعلی (تهرانسر),0.034690375
5w1p36,غذاخانه تیله,44qq25,غذاخوری تیله,0.007023207
5w1rp1,نانوایی لواش شهرک کوهسار,12qgk4,نانوایی لواش کوهسار,0.410396722
5w3kpy,باغ رستوران کرمانشاهی,xdd6dy,رستوران کرمانشاهی,0.004205759
5w3row,گودفود,zn1rne,غذای سالم و رژیمی گود فود,0.019558719
5w3x71,میوه سرای قلهک,31y7q7,میوه سرای قلهک,0.011581721
5w3yg6,کته کبابی سرای گیلانی,y1x16r,سرای گیلانی,0.020287252
5w3ypn,کافی شاپ لانج,85owxg,کافه لانج,0.024562575
5w3zy8,کترینگ چلو ملو,pvnw8x,مطبخ چلو ملو,0.011884751
5w73pr,شیرینی  قصر زرین (ابوذر),p5ryzx,شیرینی قصر زرین,0.064006303
5w74m7,رستوران خوشپزخانه,meymxv,تهیه غذا خوشپزخانه,0.005037638
5w761l,ساندویچ ۱۳۵,zn9j42,ساندویچ 135,0.15560027
5w771n,باربیکیو آلپ,0wd24v,فست فود آلپ,0.014981735
5w79xp,نانوایی و سنگکی پایتخت,p8qx2r,نان سنگکی پاییتخت (دهقان),0.031099928
5w7wzl,راش کیک (ونک),27zwnl,راش کیک (ونک),0.043158917
5w7yyz,کبابسرای تویسلند (کبابسرای اصیل ایرانیان(گلپایگانی)),p8q7vg,کبابسرای اصیل ایرانیان( گلپایگانی),0.011738948
5w7znk,رستوران خوان امیر,37xm6g,کترینگ و تشریفات خوان امیر,0.015383068
5wlxr2,شیرینی پارسا (پیام),zn1qde,قنادی پارسا,0.033059474
5wm3z5,فست فود نسیم,0qvjoy,فست فود نسیم,0.0239712
5wmg85,شیرینی کیان,6d24vw,شیرینی کیان,0.029754243
5x41x1,نانوایی محلی کاشمری رادوین,vxlwk5,نان محلی رادوین,0.009144636
5x4869,خانه دیس کباب,xdg759,خانه دیس کباب,0.063761727
5x4kwk,نانوایی سنگک مجدیه,12z6wk,نان سنگک مجیدیه,0.070460463
5x4lgk,نانوایی لواش نیکنان,6d4eeo,مجتمع نان نیکنان,0.012312222
5x4ng1,مترو برگر اصلی ,4424wy,فست فود مترو,0.013972998
5x4pyx,تهیه غذای پارس,mejn9r,رستوران پارس,0.002439846
5x4rky,مجموعه غذایی به پخت(شهرک راه آهن),l2d76n,تهیه غذای به پخت (شهرک راه آهن),0.024337144
5x4yk7,آبمیوه بستنی بوی سیب,0mv11r,آبمیوه بستنی بوی سیب,0.137470112
5x7114,کباب سرای باباعلی,o9jmgo,کبابسرای باباعلی,0.022488891
5x7lwy,کافه رستوران زینوزیگ,gn965x,فست‌ فود زینوزیگ,0.014693387
5x7lx7,تهیه غذای شرکتی پارسی آنیسا,12jnjk,کترینگ پارسی آنیسا,0.226978356
5x7om9,نانوایی تافتون بازارچه,12zgyw,تافتون سنتی بازارچه,0.026672161
5x7w1p,کافه تو راه,dqr97n,تو راه کافی (سعادت آباد),0.041129135
5x7x93,کبابسرای یکتا شعبه اصلی,wd4l85,کباب سرای یکتا (قلهک),0.012191777
5x7z36,بمب اژدر نارمک ,zndye1,فست فود بمب اژدر (نارمک) (شبانه),0.228427221
5xg341,میوه فروشی ثارالله,3dv7yd,سوپر میوه ثارالله,0.023901508
5xg777,سبزیجات مادر بزرگ,94xdmk,ترشیجات و سبزیجات آماده مادربزرگ,0.023257072
5y41ln,کندی لیس(فلکه سوم تهرانپارس),r5j8zz,قهوه و شکلات کندی لیس (فلکه سوم تهرانپارس),0.014024863
5y43lp,فست فود شصت هفتاد,5oyjjj,ساندویچ شصت هفتاد,0.001927787
5y43np,باماهاس (هفت تیر),0jyrzg,باماهاس (کریمخان),0.006775184
5y466g,  فست فود تنورباز,94e5nk,فست فود تنور باز,0.036212922
5y47p1,نانوایی بابرکت,94e9kk,نان سنگک سنتی بابرکت,0.008221138
5y4kwr,آبمیوه بستنی آیس لند ,27r8yl,آیس لند پلاس(پیامبر مرکزی),0.461394302
5y4nm6,فست فود ۱۳۳۹,7jrl49,فست فود 1339,0.021702959
5y4ywg,نان و شیرینی نانکو,wdqy4v,مجموعه نان فانتزی نانکو,0.02340984
5ymgyo,سوپر میوه و سبزی خرد کنی شادی,31xzx7,سوپر میوه و سبزی خرد کنی شادی,0.207754289
5ymnmn,آویلانژ ,wd4lqg,رستوران آوی لانژ,0.002603786
5ymnw1,کترینگ امیران110,jygo9v,کترینگ امیران 110,0.018352602
5ymx9x,نانوایی سنگک سنتی برادران یوسفی,gnz6vr,نان سنگک سنتی برادران یوسفی (آزادپز),0.059472811
5ymxmx,فست فود کارو,31667y,فست فود کارو,0.01014987
5yn3k2,مجتمع نان کوثر,y19mwy,مجتمع نان کوثر(آزادپز),0.015669236
5yo1n8,رستوران مظفر,dqvkdw,تهیه غذای مظفر (پیروزی),0.029729265
5yo1wp,کترینگ اعیان,znkzg1,رستوران اعیان,0.005837633
5yowxo,طباخی شاهگوش,e52zj5,طباخی شاهگوش,0.040432361
5z4717,میوه سرای ماهد,p54djw,میوه سرای ماهد,0.006826077
5z4k61,فست فود چامپی,xdwyg2,چامپی برگر,0.002831815
5z4l3z,شیرینی نامداریزدی ظفر,nnlwo8,قنادی نامدار یزدی,0.033234454
5z4mgw,ساندویچی تک طهران,nnjql2,فست فود تک طهران,0.284893819
5z4nxm,سوسیس کالباس سامیان,mewnny,پروتئین سامیان,0.02174214
5z4p65,اغذیه امیر انفجار,0wnor5,اغذیه امیر انفجار,0.028722508
5z4wy8,نان فانتزی دهکده,6drz8n,دهکده نان,0.02439962
5z4xgl,نانوایی سنگک سنتی مشاهیر,3dy8q7,نانوایی مشاهیر (آزادپز),0.039059415
5z4z3l,کترینگ لادن,e5e5o2,رستوران لادن,0.002768159
5z4z9l,مجتمع نان ستارخان,znnmre,نان لواش ستارخان,0.279233939
5z9982,کافی شاپ آفرودیت,dqevdd,کافه آفرودیت,0.176741703
5zk1zp,سوپرگوشت سجاد,r5yjez,پروتئین سجاد,0.005780833
5zk4yg,تهیه غذای شبیر,me19gv,رستوران شبیر,0.030577213
5zk8n3,آش وحلیم آشینه ,85xjvr,آش و حلیم آشینه,0.011415705
5zkxm4,نان زرین ,314x27,نانوایی زرین (شعبه آذربایجان),0.01644283
5zkz47,آنافود,wd5rjg,رستوران آنا فود,0.056209105
5zl66p,فست فود تینو,3kdqqp,فست فود تینو,0.025966765
5zlmx6,مجتمع نان سنگک ملاصدرا,xdgedy,مجتمع نان ملاصدرا خوارزمی (آزادپز),0.03091897
5zlowr,بیرون بر شاپورجانی,xd1xv4,تهیه غذای  شاپورجانی,0.006867527
5zlx9o,غدای ایرانی مهرآرا,nnq8q8,غذای ایرانی مهر آرا,0.027180469
5zlylw,ساندویچ سرد ماه جان (دهکده پروتئین),wd9ny5,ساندویچ سرد ماه جان (دهکده پروتئین),0.04783385
5zmgn2,بستنی سنتی رز تبریز,vx5rmd,بستنی سنتی رز تبریز,0.011453104
5zmmo2,رستوران و کترینگ خانی,p59eyn,رستوران و کترینگ خانی,0.062424183
5zn6m5,سیزده و سیزده (فود کورت آبان),5o94jj,کافه سیزده سیزده 13:13,0.012887791
5zn9l5,فست فود عمو نوروز,6d4j7g,فست فود عمو نوروز,0.010691723
5zp4k5,ته چین بهشت (شعبه1),0qd41x,بیرون بر ته چین بهشت,0.102135799
5zwp32,آبمیوه عسل,jygew9,ویتامین سرا عسل,0.133717335
