WKT,name
"POLYGON ((51.381397 35.670841, 51.373773 35.667975, 51.368285 35.667068, 51.356774 35.669229, 51.347872 35.672621, 51.342008 35.680821, 51.342009 35.684581, 51.3401889 35.688154, 51.339726 35.695458, 51.337509 35.697423, 51.335661 35.697844, 51.33432 35.699642, 51.3038231 35.6992682, 51.270437 35.704339, 51.26113 35.6787259, 51.278354 35.67669, 51.323092 35.674855, 51.322799 35.669541, 51.333375 35.667733, 51.332645 35.660061, 51.329329 35.658774, 51.333392 35.643368, 51.3267771 35.6416971, 51.3303214 35.6294642, 51.344819 35.632458, 51.350614 35.63526, 51.3554554 35.6357162, 51.364624 35.640875, 51.368516 35.644124, 51.371621 35.649508, 51.374876 35.653056, 51.3818312 35.6545132, 51.382228 35.657208, 51.381397 35.670841))",یافت آباد - مهرآباد جنوبی
"POLYGON ((51.305116 35.794516, 51.303153 35.794521, 51.30208 35.788992, 51.302228 35.787883, 51.303183 35.7861, 51.3000149 35.7834, 51.2976829 35.78419, 51.2952659 35.784179, 51.2930209 35.783576, 51.2891309 35.783484, 51.2824801 35.7814179, 51.278415 35.7851138, 51.2768579 35.781092, 51.2732759 35.779526, 51.2743989 35.78103, 51.2730309 35.782552, 51.2710139 35.782936, 51.2703739 35.782942, 51.2692419 35.782517, 51.2688729 35.783198, 51.2683229 35.784156, 51.2675429 35.783764, 51.2666229 35.783035, 51.2627069 35.782193, 51.2624629 35.782325, 51.2625904 35.7792699, 51.2647956 35.7794184, 51.266584 35.7775923, 51.2689644 35.7746914, 51.2693589 35.7733225, 51.2710831 35.7719828, 51.2672241 35.7708182, 51.264567 35.76645, 51.26638 35.763812, 51.266991 35.762132, 51.266991 35.760861, 51.268096 35.758892, 51.26887 35.758446, 51.267967 35.756586, 51.271819 35.754288, 51.274678 35.753909, 51.295061 35.753265, 51.294946 35.748673, 51.2956828 35.7467802, 51.3142887 35.7465299, 51.314623 35.748765, 51.319153 35.763891, 51.318511 35.771308, 51.320554 35.773214, 51.320068 35.777269, 51.319179 35.778117, 51.316753 35.780235, 51.319247 35.781296, 51.319264 35.783411, 51.3196489 35.7882894, 51.318843 35.788476, 51.318162 35.78889, 51.314549 35.788376, 51.309413 35.788832, 51.307451 35.789217, 51.30776 35.79254, 51.306526 35.793748, 51.305116 35.794516))",جنت آباد - شهران‎
"POLYGON ((51.36872 35.644347, 51.364624 35.640875, 51.3554554 35.6357162, 51.350614 35.63526, 51.3346486 35.627396, 51.3254855 35.620431, 51.3347972 35.6104569, 51.3480151 35.6076657, 51.366191 35.612182, 51.369884 35.604973, 51.372968 35.604706, 51.37604 35.603042, 51.376203 35.60318, 51.375904 35.604069, 51.376213 35.604308, 51.377561 35.60443, 51.378452 35.604805, 51.379274 35.604716, 51.380482 35.604871, 51.381824 35.605797, 51.382182 35.605941, 51.383008 35.606853, 51.383928 35.607559, 51.384028 35.608362, 51.38312 35.610012, 51.383249 35.610577, 51.378497 35.614204, 51.390197 35.614272, 51.3906925 35.621911, 51.393357 35.626288, 51.393804 35.628927, 51.3910854 35.6387585, 51.3913005 35.640378, 51.393048 35.644073, 51.392561 35.645811, 51.388407 35.650333, 51.3818312 35.6545132, 51.374876 35.653056, 51.371621 35.649508, 51.36872 35.644347))",نعمت آباد - عبدل آباد
"POLYGON ((51.461887 35.705893, 51.448934 35.702056, 51.448852 35.701724, 51.448351 35.701394, 51.447745 35.701493, 51.447508 35.70169, 51.447447 35.701824, 51.447465 35.70209, 51.438464 35.701861, 51.432742 35.691222, 51.431814 35.685628, 51.430172 35.675753, 51.438183 35.674315, 51.436415 35.669714, 51.435392 35.668056, 51.437128 35.667468, 51.438839 35.666927, 51.442214 35.666333, 51.444575 35.665451, 51.449865 35.664894, 51.456768 35.660365, 51.460876 35.659046, 51.462449 35.662321, 51.464552 35.666064, 51.465933 35.670171, 51.472188 35.669279, 51.473473 35.673353, 51.473835 35.673517, 51.473883 35.673709, 51.473605 35.673972, 51.473113 35.674008, 51.472863 35.675548, 51.472352 35.677365, 51.474774 35.677949, 51.4744886 35.6795583, 51.473935 35.681429, 51.472271 35.683661, 51.47061 35.685694, 51.467392 35.685567, 51.467152 35.685683, 51.467059 35.685906, 51.467052 35.686049, 51.467007 35.686278, 51.465448 35.689291, 51.463499 35.690724, 51.461158 35.690583, 51.457287 35.690365, 51.456782 35.695323, 51.457334 35.698322, 51.459621 35.697849, 51.459113 35.701731, 51.459437 35.702579, 51.459632 35.704371, 51.461904 35.704258, 51.461887 35.705893))",دروازه شمیران-میدان شهدا
"POLYGON ((51.465933 35.670171, 51.464552 35.666064, 51.462449 35.662321, 51.460876 35.659046, 51.511953 35.602686, 51.516672 35.602412, 51.511716 35.608177, 51.4992005 35.6184673, 51.506426 35.624905, 51.5185766 35.6226379, 51.525277 35.627652, 51.520041 35.633006, 51.507746 35.630186, 51.508188 35.644107, 51.497146 35.646634, 51.5018114 35.6602727, 51.490705 35.662865, 51.492044 35.666622, 51.465933 35.670171))",افسریه - آهنگ
"POLYGON ((51.435392 35.668056, 51.430795 35.659738, 51.412093 35.658531, 51.413494 35.65349, 51.412502 35.64787, 51.434266 35.645484, 51.436352 35.627491, 51.441281 35.628691, 51.451984 35.62948, 51.47244 35.618317, 51.477795 35.612722, 51.480138 35.614016, 51.5010381 35.6049911, 51.5131402 35.5986824, 51.5145391 35.5981594, 51.516364 35.598279, 51.460876 35.659046, 51.456768 35.660365, 51.449865 35.664894, 51.444575 35.665451, 51.442214 35.666333, 51.438839 35.666927, 51.437128 35.667468, 51.435392 35.668056))",میدان خراسان - شوش
"POLYGON ((51.47244 35.618317, 51.451984 35.62948, 51.441281 35.628691, 51.436352 35.627491, 51.431443 35.625556, 51.425285 35.621837, 51.41739 35.616319, 51.414388 35.615324, 51.407673 35.614379, 51.396267 35.614361, 51.395673 35.6089866, 51.406767 35.607064, 51.416616 35.575998, 51.420307 35.571495, 51.425425 35.574706, 51.4292252 35.5753094, 51.4350856 35.5750752, 51.4394573 35.5753108, 51.4427409 35.5742633, 51.448792 35.577523, 51.466787 35.56827, 51.47158 35.569143, 51.454354 35.597151, 51.456051 35.609722, 51.47244 35.618317))",شهرری
"POLYGON ((51.527377 35.77729, 51.5323768 35.7769608, 51.535489 35.7896527, 51.5412403 35.7887464, 51.5390324 35.7937461, 51.541157 35.799507, 51.5423369 35.805093, 51.5400817 35.8128687, 51.5340521 35.8174102, 51.529224 35.8176017, 51.5199007 35.8169318, 51.5158345 35.8165577, 51.50808 35.818689, 51.507524 35.817595, 51.502843 35.816173, 51.4959644 35.8171449, 51.491524 35.823777, 51.483884 35.818649, 51.484064 35.816864, 51.484656 35.816496, 51.484535 35.814598, 51.485004 35.812982, 51.487344 35.8129453, 51.488841 35.812763, 51.488168 35.810065, 51.486655 35.80662, 51.48477 35.807041, 51.484068 35.805428, 51.484762 35.805104, 51.483912 35.80257, 51.4848144 35.8025636, 51.489039 35.801531, 51.487304 35.80162, 51.48605 35.801083, 51.485613 35.800709, 51.478981 35.790449, 51.48076 35.790094, 51.4874274 35.7872207, 51.490846 35.785838, 51.492292 35.78567, 51.498151 35.786261, 51.5002548 35.786259, 51.513046 35.782441, 51.514459 35.781807, 51.519867 35.77804, 51.520571 35.777506, 51.527377 35.77729))",مینی سیتی - ازگل - دارآباد‎‎
"POLYGON ((51.484535 35.814598, 51.484656 35.816496, 51.484064 35.816864, 51.483884 35.818649, 51.480959 35.820626, 51.478402 35.821133, 51.477115 35.821599, 51.47574 35.821172, 51.473868 35.821033, 51.473323 35.821035, 51.468962 35.823755, 51.468344 35.825335, 51.467732 35.827975, 51.467319 35.828146, 51.464307 35.827609, 51.463242 35.828746, 51.462317 35.828944, 51.462023 35.82652, 51.464503 35.825495, 51.464759 35.824747, 51.463253 35.823287, 51.459787 35.823155, 51.459482 35.822813, 51.45803 35.822401, 51.457474 35.821602, 51.457403 35.821117, 51.454949 35.819353, 51.451368 35.819152, 51.450921 35.817416, 51.448525 35.817474, 51.448759 35.818299, 51.448141 35.818329, 51.44733 35.818104, 51.446733 35.819148, 51.439162 35.820023, 51.438865 35.82019, 51.437766 35.820222, 51.437051 35.819973, 51.435619 35.822487, 51.436106 35.822544, 51.436042 35.822837, 51.436173 35.823838, 51.435984 35.824195, 51.43517 35.824499, 51.434698 35.824659, 51.433818 35.824008, 51.432555 35.823034, 51.430577 35.823418, 51.429706 35.82407, 51.428114 35.825606, 51.427479 35.826557, 51.426795 35.827403, 51.426162 35.827589, 51.4251558 35.8268024, 51.425238 35.826323, 51.4232914 35.824972, 51.423331 35.822872, 51.422909 35.821719, 51.422924 35.820871, 51.421431 35.821225, 51.420462 35.82062, 51.419634 35.819618, 51.41849 35.817245, 51.41514 35.81698, 51.418374 35.8151, 51.419718 35.81348, 51.422568 35.812359, 51.424299 35.810454, 51.426584 35.808657, 51.4255547 35.8077962, 51.425713 35.806809, 51.4271898 35.8062176, 51.4278934 35.8061709, 51.4276586 35.8051364, 51.4302003 35.8049802, 51.4339 35.8040172, 51.433909 35.804777, 51.438307 35.805509, 51.440081 35.805574, 51.4436327 35.8070132, 51.444427 35.807469, 51.445738 35.80776, 51.44778 35.807005, 51.449922 35.807028, 51.451488 35.806664, 51.452326 35.805945, 51.452831 35.805801, 51.454727 35.805244, 51.459077 35.803453, 51.4605903 35.8024385, 51.4612826 35.8018094, 51.461417 35.801424, 51.474963 35.798839, 51.485613 35.800709, 51.485987 35.801071, 51.487304 35.80162, 51.489039 35.801531, 51.484881 35.802541, 51.484141 35.803145, 51.484762 35.805104, 51.484068 35.805428, 51.48477 35.807041, 51.486655 35.80662, 51.488168 35.810065, 51.488841 35.812763, 51.487008 35.812725, 51.485004 35.812982, 51.484535 35.814598))",نیاوران‎ - آجودانیه
"POLYGON ((51.436272 35.783944, 51.445804 35.786357, 51.449552 35.779925, 51.453745 35.780348, 51.455622 35.780008, 51.46008 35.780173, 51.468145 35.7814, 51.470561 35.7861, 51.47288 35.786701, 51.475815 35.790189, 51.478981 35.790449, 51.485613 35.800709, 51.474963 35.798839, 51.461417 35.801424, 51.4612826 35.8018094, 51.4605903 35.8024385, 51.459077 35.803453, 51.454727 35.805244, 51.452326 35.805945, 51.451488 35.806664, 51.449922 35.807028, 51.44778 35.807005, 51.445738 35.80776, 51.444427 35.807469, 51.4436327 35.8070132, 51.440081 35.805574, 51.438307 35.805509, 51.433909 35.804777, 51.433647 35.799354, 51.4354792 35.7894032, 51.436272 35.783944))",قیطریه-اندرزگو-دولت
"POLYGON ((51.382126 35.659677, 51.382228 35.657208, 51.381917 35.656187, 51.382574 35.654182, 51.383303 35.653337, 51.388407 35.650333, 51.392561 35.645811, 51.393048 35.644073, 51.391279 35.640378, 51.3910854 35.6387585, 51.393804 35.628927, 51.393429 35.626546, 51.390671 35.621911, 51.390197 35.614272, 51.407673 35.614379, 51.414388 35.615324, 51.41739 35.616319, 51.425285 35.621837, 51.431443 35.625556, 51.436352 35.627491, 51.434266 35.645484, 51.412502 35.64787, 51.413494 35.65349, 51.412093 35.658531, 51.410648 35.658281, 51.407984 35.658158, 51.393543 35.659717, 51.39272 35.658459, 51.382126 35.659677))",نازی آباد
"POLYGON ((51.421664 35.749463, 51.4233694 35.7491652, 51.4342998 35.7492876, 51.4394352 35.7503847, 51.4404765 35.7506087, 51.4445434 35.7509893, 51.4472325 35.7516355, 51.448847 35.752093, 51.4517012 35.7541659, 51.455333 35.76347, 51.448673 35.766697, 51.446582 35.767117, 51.446971 35.768196, 51.445792 35.769811, 51.449737 35.779017, 51.449552 35.779925, 51.447805 35.782994, 51.445804 35.786357, 51.436272 35.783944, 51.432108 35.780214, 51.427797 35.77853, 51.428042 35.776024, 51.424225 35.770134, 51.422765 35.767629, 51.420834 35.761817, 51.419962 35.757866, 51.420907 35.751458, 51.421664 35.749463))",ظفر - میرداماد
"POLYGON ((51.520571 35.777506, 51.514459 35.781807, 51.511633 35.782803, 51.5003217 35.786238, 51.498151 35.786261, 51.492292 35.78567, 51.490846 35.785838, 51.4874274 35.7872207, 51.48076 35.790094, 51.478603 35.790441, 51.475815 35.790189, 51.47288 35.786701, 51.470561 35.7861, 51.468145 35.7814, 51.46008 35.780173, 51.455622 35.780008, 51.453745 35.780348, 51.449552 35.779925, 51.449737 35.779017, 51.445792 35.769811, 51.446971 35.768196, 51.446582 35.767117, 51.448673 35.766697, 51.455333 35.76347, 51.4517012 35.7541659, 51.448847 35.752093, 51.456109 35.755442, 51.4613566 35.7567092, 51.46561 35.756843, 51.469304 35.756742, 51.47291 35.757146, 51.477227 35.758797, 51.481522 35.759271, 51.484736 35.758728, 51.4847017 35.7622668, 51.486384 35.766502, 51.491328 35.770576, 51.495941 35.769972, 51.498647 35.770193, 51.503352 35.771411, 51.513142 35.77287, 51.520571 35.777506))",پاسداران - هروی -دروس
"POLYGON ((51.427797 35.77853, 51.422244 35.785253, 51.420609 35.788292, 51.418681 35.790025, 51.417446 35.790597, 51.410123 35.791969, 51.406971 35.791867, 51.405987 35.792254, 51.40311 35.793769, 51.402028 35.79373, 51.399262 35.792348, 51.3958643 35.7913838, 51.39277 35.790319, 51.392295 35.790141, 51.391881 35.788977, 51.391819 35.788243, 51.393013 35.782265, 51.393116 35.781214, 51.393074 35.780781, 51.392493 35.779221, 51.3885227 35.7730831, 51.387471 35.770636, 51.38732 35.76881, 51.38858 35.761404, 51.388625 35.760316, 51.388398 35.759324, 51.386438 35.755098, 51.38625 35.753987, 51.386266 35.750277, 51.396767 35.751085, 51.4056737 35.7512452, 51.4112757 35.7514932, 51.413175 35.751983, 51.414854 35.752036, 51.415629 35.75201, 51.416912 35.751736, 51.421664 35.749463, 51.420907 35.751458, 51.4206294 35.7537231, 51.419962 35.757866, 51.420834 35.761817, 51.422765 35.767629, 51.428042 35.776024, 51.427797 35.77853))",جردن - ونک
"POLYGON ((51.386266 35.750277, 51.38625 35.753987, 51.386438 35.755098, 51.388398 35.759324, 51.388625 35.760316, 51.38858 35.761404, 51.38732 35.76881, 51.387471 35.770636, 51.388269 35.772627, 51.392493 35.779221, 51.393074 35.780781, 51.393116 35.781214, 51.393013 35.782265, 51.391819 35.788243, 51.391881 35.788977, 51.392295 35.790141, 51.39185 35.790931, 51.389937 35.792469, 51.389443 35.792645, 51.386649 35.792946, 51.387902 35.796308, 51.3836786 35.7942113, 51.3760177 35.7928832, 51.3732709 35.7951109, 51.3667697 35.7976219, 51.361524 35.80409, 51.3585282 35.803174, 51.3551035 35.795784, 51.3525612 35.7959228, 51.34621 35.795189, 51.342899 35.798584, 51.3402562 35.8064291, 51.340449 35.791817, 51.340503 35.788877, 51.341813 35.782827, 51.341461 35.781267, 51.34226 35.780428, 51.343188 35.780659, 51.343793 35.777009, 51.3423774 35.7716359, 51.341824 35.766103, 51.342623 35.765445, 51.343036 35.76487, 51.343124 35.764202, 51.342847 35.76367, 51.343608 35.761462, 51.342929 35.755088, 51.343085 35.75249, 51.343843 35.751168, 51.348221 35.751075, 51.3661667 35.7492969, 51.371753 35.749305, 51.386266 35.750277))",سعادت آباد - شهرک غرب
